Linha	Coluna	Tratamento	Rep	Producao
1	1	A	1	52
1	1	A	2	55
1	2	B	1	61
1	2	B	2	63
1	3	C	1	70
1	3	C	2	68
1	4	D	1	74
1	4	D	2	77
1	5	E	1	82
1	5	E	2	80
2	1	B	1	60
2	1	B	2	62
2	2	C	1	67
2	2	C	2	69
2	3	D	1	76
2	3	D	2	75
2	4	E	1	81
2	4	E	2	84
2	5	A	1	54
2	5	A	2	53
3	1	C	1	71
3	1	C	2	70
3	2	D	1	75
3	2	D	2	78
3	3	E	1	83
3	3	E	2	85
3	4	A	1	56
3	4	A	2	57
3	5	B	1	64
3	5	B	2	63
4	1	D	1	77
4	1	D	2	76
4	2	E	1	86
4	2	E	2	84
4	3	A	1	55
4	3	A	2	58
4	4	B	1	65
4	4	B	2	66
4	5	C	1	69
4	5	C	2	72
5	1	E	1	87
5	1	E	2	85
5	2	A	1	57
5	2	A	2	56
5	3	B	1	66
5	3	B	2	64
5	4	C	1	73
5	4	C	2	71
5	5	D	1	79
5	5	D	2	78
